ibra_region_name,ibra_region_code,jurisdictions,ibra_area_ha,area_protected_ha,unprotected_area_ha,percent_protected,protected_band,contribution_to_nrs_percent
Arnhem Coast,ARC,NT,3335668.563999999,1809069.229053661,1526599.3349463379,54.23408214406944,50%+ protected,
Arnhem Plateau,ARP,NT,2306022.605,1728646.654232366,577375.950767634,74.96225971437804,50%+ protected,
Australian Alps,AUA,"ACT, NSW, VIC",1232986.28,789186.7194381033,443799.56056189677,64.00612336400883,50%+ protected,
Avon Wheatbelt,AVW,WA,9517104.300999999,425499.2515990164,9091605.049400983,4.470889864623082,0–10% protected,
Ben Lomond,BEL,TAS,657499.644,107167.5140203818,550332.1299796181,16.29925050124921,10–17% protected,
Brigalow Belt North,BBN,QLD,13674532.531,329113.005750548,13345419.525249451,2.406758732003839,0–10% protected,
Brigalow Belt South,BBS,"NSW, QLD",27219895.217,1501809.318211809,25718085.89878819,5.517322187463326,0–10% protected,
Broken Hill Complex,BHC,"NSW, SA",5635422.247,328109.8033521458,5307312.443647855,5.822275403175229,0–10% protected,
Burt Plain,BRT,NT,7379719.218999999,493241.275255257,6886477.943744741,6.683740405533946,0–10% protected,
Cape York Peninsula,CYP,QLD,12256457.235,4752326.347900632,7504130.887099368,38.77406216806036,30–50% protected,
Carnarvon,CAR,WA,8430171.732,1230854.846310506,7199316.885689495,14.60059042022023,10–17% protected,
Central Arnhem,CEA,NT,3462433.034,1179902.476470755,2282530.557529245,34.07726488525512,30–50% protected,
Central Kimberley,CEK,WA,7675587.489,2385269.587155493,5290317.901844507,31.07605236177502,30–50% protected,
Central Mackay Coast,CMC,QLD,1464207.903,219669.7877411229,1244538.115258877,15.00263639412435,10–17% protected,
Central Ranges,CER,"NT, SA, WA",10164043.99,8265172.546130496,1898871.4438695041,81.31775653728252,50%+ protected,
Channel Country,CHC,"NSW, NT, QLD, SA",30409436.97600001,3357358.941522954,27052078.034477055,11.040516613881,10–17% protected,
Cobar Peneplain,COP,NSW,7385346.396,240526.8555202211,7144819.540479778,3.256812106342007,0–10% protected,
Coolgardie,COO,WA,12912208.812,4857338.067308347,8054870.744691654,37.61818088624903,30–50% protected,
Coral Sea,COS,EXT,17167.103,0.0,17167.103,0.0,0% protected,
Daly Basin,DAB,NT,2092228.955,219031.4058783966,1873197.5491216034,10.46880674100969,10–17% protected,
Dampierland,DAL,WA,8360871.27,1237418.617226077,7123452.652773922,14.80011564902466,10–17% protected,
Darling Riverine Plains,DRP,"NSW, QLD",10699767.931,325635.1914693044,10374132.739530696,3.043385553492752,0–10% protected,
Darwin Coastal,DAC,NT,2843199.435,878565.5159442143,1964633.9190557858,30.90059406769031,30–50% protected,
