jurisdiction,percent_protected,protected_area_ha,year
Australian Capital Territory,54.92699723933795,129525.0,2008
Tasmania,41.00456818602796,2804767.0,2008
South Australia,26.09132333714721,25679638.0,2008
Victoria,17.25940571224052,3927268.0,2008
Western Australia,14.462936739007178,36547956.0,2008
Northern Territory,8.994146273579801,12122199.0,2008
New South Wales,8.65753647333689,6936528.0,2008
Queensland,5.97734611298155,10339235.0,2008
Australian Capital Territory,54.92920579936956,129530.20807166734,2010
Tasmania,41.59504899863616,2845156.672921881,2010
South Australia,27.68369837380522,27246887.540133357,2010
Victoria,17.5421303972846,3991600.203952784,2010
Western Australia,14.10490346127832,35643205.01427028,2010
Northern Territory,10.97757292455599,14795436.885363763,2010
New South Wales,8.83883078654217,7081783.302551964,2010
Queensland,6.651409754896161,11505187.626296,2010
Australian Capital Territory,54.99547969028256,129686.490522046,2012
Tasmania,42.47665333171612,2905459.581838313,2012
South Australia,29.842459319552034,29371586.195658773,2012
Northern Territory,18.820411964357582,25365918.248861037,2012
Victoria,17.88602735117042,4069851.768624876,2012
Western Australia,14.5199812278416,36692109.884204045,2012
New South Wales,9.055467202421347,7255355.14590411,2012
Queensland,7.486022284499461,12948847.55737678,2012
Australian Capital Territory,55.21914044034384,130213.911646588,2014
Tasmania,44.08842210680494,3015706.70970686,2014
South Australia,29.86584953383455,29394607.3444045,2014
Western Australia,21.51771454561028,54375438.5198907,2014
Northern Territory,18.64491525160413,25129385.952061232,2014
Victoria,17.632326346099152,4012123.7184593,2014
New South Wales,9.103238810168836,7293630.363775385,2014
Queensland,8.156282906917145,14108221.9612401,2014
Australian Capital Territory,55.48019018914639,130829.5008907318,2016
Tasmania,42.31386449014797,2894327.30168593,2016
South Australia,30.06323945814968,29588882.72613813,2016
Northern Territory,24.865979749299143,33514059.665276088,2016
Western Australia,23.25978085912956,58777768.2338861,2016
Victoria,17.220926607771762,3916791.799646294,2016
New South Wales,9.296576617554502,7448535.066576177,2016
Queensland,8.441418275718494,14601431.075975182,2016
Australian Capital Territory,55.65454666993668,131241.6874631643,2018
Tasmania,42.35026401985853,2896817.080246232,2018
South Australia,30.12887751310088,29656514.36761587,2018
Northern Territory,24.859532879905263,33505470.26430834,2018
Western Australia,23.387385250008432,59100226.18644075,2018
Victoria,17.503957486354327,3981165.39867072,2018
New South Wales,9.306186197511048,7455651.678063528,2018
Queensland,8.68028226694731,15014650.13328796,2018
Australian Capital Territory,55.85787582397461,131721.16888664,2020
Tasmania,42.29798889160156,2893241.497669372,2020
South Australia,30.12692642211914,29654593.76611273,2020
Northern Territory,24.85928535461426,33505136.09457567,2020
Western Australia,23.30310821533203,58887254.93301339,2020
Victoria,17.57302474975586,3996874.411486336,2020
New South Wales,9.606990814208984,7696641.307226734,2020
Queensland,8.712421417236328,15070241.91531271,2020
Australian Capital Territory,55.93525695800781,131903.6442161171,2022
Tasmania,42.30754852294922,2893895.326506033,2022
South Australia,30.19527053833008,29721867.01848097,2022
Western Australia,30.13150787353516,76142709.8366525,2022
Northern Territory,24.88242530822754,33536324.71838379,2022
Victoria,17.64343070983887,4012887.776085055,2022
New South Wales,10.1977367401123,8169917.758961976,2022
Queensland,8.83128547668457,15275845.92634992,2022
Australian Capital Territory,55.93471579253836,131902.3678677836,2024
Tasmania,42.80694616267479,2928054.775268203,2024
Western Australia,31.133286375035706,78674218.90145588,2024
South Australia,30.44077153181189,29963518.48494658,2024
Northern Territory,24.63937105305457,33208737.99751482,2024
Victoria,17.690302579306515,4023548.42187292,2024
New South Wales,10.441309542307987,8365055.819655714,2024
Queensland,9.355817951245813,16183152.68197991,2024
