objectid,ibra_region_name,ibra_region_code,ibra_region_number,state,state_name,ibra_piece_area_km2,jurisdiction_area_ha,num_protected_areas,protected_area_ha,percent_protected,protected_band,contribution_to_nrs_percent,year
10241,Australian Alps,AUA,3,ACT,Australian Capital Territory,543.79,235815.0,51,131902.0,55.93,Very high (50%+),0.08,2024
10242,South Eastern Highlands,SEH,69,ACT,Australian Capital Territory,1811.6,235815.0,51,131902.0,55.93,Very high (50%+),0.08,2024
10248,Australian Alps,AUA,3,NSW,New South Wales,4641.38,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10249,Brigalow Belt South,BBS,6,NSW,New South Wales,56003.25,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10250,Broken Hill Complex,BHC,8,NSW,New South Wales,37491.26,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10251,Channel Country,CHC,14,NSW,New South Wales,23285.24,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10252,Cobar Peneplain,COP,17,NSW,New South Wales,73518.28,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10253,Darling Riverine Plains,DRP,25,NSW,New South Wales,93771.29,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10254,Murray Darling Depression,MDD,49,NSW,New South Wales,79146.84,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10255,Mulga Lands,MUL,52,NSW,New South Wales,65589.44,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10256,Nandewar,NAN,54,NSW,New South Wales,20651.04,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10257,New England Tablelands,NET,56,NSW,New South Wales,28466.38,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10258,NSW North Coast,NNC,57,NSW,New South Wales,39794.08,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10259,NSW South Western Slopes,NSS,59,NSW,New South Wales,80883.93,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10260,Riverina,RIV,65,NSW,New South Wales,70122.19,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10261,South East Corner,SEC,68,NSW,New South Wales,12079.41,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10262,South Eastern Highlands,SEH,69,NSW,New South Wales,49357.9,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10263,South Eastern Queensland,SEQ,70,NSW,New South Wales,16519.47,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10264,Simpson Strzelecki Dunefields,SSD,71,NSW,New South Wales,10904.49,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10265,Sydney Basin,SYB,76,NSW,New South Wales,36083.42,80115007.0,2657,8365056.0,10.44,Low (10-17%),4.82,2024
10266,Arnhem Coast,ARC,1,NT,Northern Territory,37069.69,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10267,Arnhem Plateau,ARP,2,NT,Northern Territory,25472.63,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10268,Burt Plain,BRT,9,NT,Northern Territory,75469.76,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10269,Central Arnhem,CEA,11,NT,Northern Territory,38091.91,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10270,Central Ranges,CER,13,NT,Northern Territory,26409.88,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10271,Channel Country,CHC,14,NT,Northern Territory,23799.46,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10272,Daly Basin,DAB,20,NT,Northern Territory,22811.21,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10273,Darwin Coastal,DAC,21,NT,Northern Territory,31446.32,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10274,Davenport Murchison Ranges,DMR,24,NT,Northern Territory,60306.06,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10275,Finke,FIN,29,NT,Northern Territory,54018.94,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10276,Gulf Fall and Uplands,GFU,35,NT,Northern Territory,120459.39,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10277,Great Sandy Desert,GSD,37,NT,Northern Territory,101149.94,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
10278,Gulf Coastal,GUC,38,NT,Northern Territory,29072.33,134779163.0,84,33208738.0,24.64,Medium (17-30%),19.14,2024
