objectid,ibra_region_code,ibra_region_name,ibra_region_number,state,state_name,feature_area_ha,feature_perimeter_km,total_region_area_ha,state_share_of_region_pct,region_state_parts,states_in_region,dominant_state_for_region,area_band,source
10266,ARC,Arnhem Coast,1,NT,Northern Territory,3706969.0,6026.6,3706969.0,100.0,1,NT,NT,1–5 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10267,ARP,Arnhem Plateau,2,NT,Northern Territory,2547263.0,944.0,2547263.0,100.0,1,NT,NT,1–5 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10241,AUA,Australian Alps,3,ACT,Australian Capital Territory,54379.0,559.0,1235308.0,4.4,3,ACT;NSW;VIC,VIC,1–5 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10248,AUA,Australian Alps,3,NSW,New South Wales,464137.8,1008.9,1235308.0,37.57,3,ACT;NSW;VIC,VIC,1–5 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10335,AUA,Australian Alps,3,VIC,Victoria,716791.1,5006.9,1235308.0,58.03,3,ACT;NSW;VIC,VIC,1–5 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10346,AVW,Avon Wheatbelt,4,WA,Western Australia,9477503.5,3609.7,9477503.5,100.0,1,WA,WA,5–10 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10326,BEL,Ben Lomond,7,TAS,Tasmania,672568.5,499.8,672568.5,100.0,1,TAS,TAS,<1 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10291,BBN,Brigalow Belt North,5,QLD,Queensland,14000906.4,9879.7,14000906.4,100.0,1,QLD,QLD,10–25 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10249,BBS,Brigalow Belt South,6,NSW,New South Wales,5600325.1,2770.0,27342293.7,20.48,2,NSW;QLD,QLD,>25 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10292,BBS,Brigalow Belt South,6,QLD,Queensland,21741968.6,8154.5,27342293.7,79.52,2,NSW;QLD,QLD,>25 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
10250,BHC,Broken Hill Complex,8,NSW,New South Wales,3749126.2,1221.5,5608888.4,66.84,2,NSW;SA,NSW,5–10 million ha,"DCCEEW IBRA v7.0 regions shapefile attributes (SHAPE_AREA/SHAPE_LEN), exported to TopoJSON"
