year,jurisdiction,jurisdiction_area_ha,protected_area_ha,percent_protected
2008,Australian Capital Territory,235800,129525,54.93
2008,New South Wales,80062800,6936528,8.66
2008,Northern Territory,134912900,12122199,8.99
2008,Queensland,172974200,10339235,5.98
2008,South Australia,983482000,25679638,26.09
2008,Tasmania,6840100,2804767,41.0
2008,Victoria,22744400,3927268,17.26
2008,Western Australia,252701300,36547956,14.46
2010,Australian Capital Territory,235800,129530,54.93
2010,New South Wales,80062800,7081783,8.84
2010,Northern Territory,134912900,14795437,10.98
2010,Queensland,172974200,11505188,6.65
2010,South Australia,983482000,27246888,27.68
2010,Tasmania,6840100,2845157,41.6
2010,Victoria,22744400,3991600,17.54
2010,Western Australia,252701300,35643205,14.1
2012,Australian Capital Territory,235800,129686,55.0
2012,New South Wales,80062800,7255355,9.06
2012,Northern Territory,134912900,25365918,18.82
2012,Queensland,172974200,12948848,7.49
2012,South Australia,983482000,29371586,29.84
2012,Tasmania,6840100,2905460,42.48
2012,Victoria,22744400,4069852,17.89
2012,Western Australia,252701300,36692110,14.52
2014,Australian Capital Territory,235800,130214,55.22
2014,New South Wales,80062800,7293630,9.1
2014,Northern Territory,134912900,25129386,18.64
2014,Queensland,172974200,14108222,8.16
2014,South Australia,983482000,29394607,29.87
2014,Tasmania,6840100,3015707,44.09
2014,Victoria,22744400,4012124,17.63
2014,Western Australia,252701300,54375439,21.52
2016,Australian Capital Territory,235800,130830,55.48
2016,New South Wales,80062800,7448535,9.3
2016,Northern Territory,134912900,33514060,24.87
2016,Queensland,172974200,14601431,8.44
2016,South Australia,983482000,29588883,30.06
2016,Tasmania,6840100,2894327,42.31
2016,Victoria,22744400,3916792,17.22
2016,Western Australia,252701300,58777768,23.26
2018,Australian Capital Territory,235800,131242,55.65
2018,New South Wales,80062800,7455652,9.31
2018,Northern Territory,134912900,33505470,24.86
2018,Queensland,172974200,15014650,8.68
2018,South Australia,983482000,29656514,30.13
2018,Tasmania,6840100,2896817,42.35
2018,Victoria,22744400,3981165,17.5
2018,Western Australia,252701300,59100226,23.39
2020,Australian Capital Territory,235800,131721,55.86
2020,New South Wales,80062800,7696641,9.61
2020,Northern Territory,134912900,33505136,24.86
2020,Queensland,172974200,15070242,8.71
2020,South Australia,983482000,29654594,30.13
2020,Tasmania,6840100,2893241,42.3
2020,Victoria,22744400,3996874,17.57
2020,Western Australia,252701300,58887255,23.3
2022,Australian Capital Territory,235800,131904,55.94
2022,New South Wales,80062800,8169918,10.2
2022,Northern Territory,134912900,33536325,24.88
2022,Queensland,172974200,15275846,8.83
2022,South Australia,983482000,29721867,30.2
2022,Tasmania,6840100,2893895,42.31
2022,Victoria,22744400,4012888,17.64
2022,Western Australia,252701300,76142710,30.13
2024,Australian Capital Territory,235800,131902,55.93
2024,New South Wales,80062800,8365056,10.44
2024,Northern Territory,134912900,33208738,24.64
2024,Queensland,172974200,16183153,9.36
2024,South Australia,983482000,29963518,30.44
2024,Tasmania,6840100,2928055,42.81
2024,Victoria,22744400,4023548,17.69
2024,Western Australia,252701300,78674219,31.13
