CommonName,TaxonomicGroup,MaxStatus,monitoring_records,total_surveys
South-eastern Brown Treecreeper,Birds,Vulnerable,1681,9348
South-eastern Boobook,Birds,Near Threatened,1313,1313
Gang-gang Cockatoo,Birds,Endangered,1126,1126
South-east Southern Whiteface,Birds,Vulnerable,1069,1069
Diamond Firetail,Birds,Vulnerable,1035,1035
Christmas Island Thrush,Birds,Endangered,998,3831
South-eastern Hooded Robin,Birds,Endangered,961,961
Western Boobook,Birds,Near Threatened,548,548
Grey-headed Flying-fox,Mammals,Vulnerable,424,7923
Christmas Island Grey-capped Emerald-Dove,Birds,Endangered,417,1962
Superb Parrot,Birds,Vulnerable,357,366
Yellow-bellied Glider,Mammals,Near Threatened,333,2486
Eastern Major Mitchell's Cockatoo,Birds,Endangered,293,293
Southern Greater Glider,Mammals,Endangered,280,833
Forest Red-tailed Black-Cockatoo,Birds,Vulnerable,234,1028
Christmas Island Goshawk,Birds,Endangered,225,905
Carnaby's Black-Cockatoo,Birds,Endangered,219,1461
Painted Honeyeater,Birds,Vulnerable,199,199
Tasmanian Devil,Mammals,Endangered,196,6026
